subject,body,category
Leave Request,I request regarding my WFH approval.,HR
Performance Issue,I dashboard shows error regarding my while uploading files.,Technical
Work From Home,I unable to access regarding my annual leave.,HR
Billing Error,I billed incorrectly regarding my premium account.,Billing
Feedback,I looking for regarding my general information.,General
Dashboard Error,I cannot login regarding my while uploading files.,Technical
Invoice Issue,I payment failed regarding my premium account.,Billing
Billing Error,I invoice missing regarding my annual plan.,Billing
General Question,I can you provide regarding my help regarding services.,General
Offer Letter,I waiting for regarding my attendance correction.,HR
Work From Home,I need regarding my attendance correction.,HR
Incorrect Invoice,I invoice missing regarding my premium account.,Billing
Resignation,I unable to access regarding my WFH approval.,HR
Invoice Issue,I charged twice regarding my credit card payment.,Billing
Subscription Problem,I billed incorrectly regarding my credit card payment.,Billing
Refund Request,I billed incorrectly regarding my credit card payment.,Billing
Offer Letter,I waiting for regarding my annual leave.,HR
Billing Error,I charged twice regarding my annual plan.,Billing
Subscription Problem,I billed incorrectly regarding my credit card payment.,Billing
Performance Issue,I app crashes regarding my after entering password.,Technical
Working Hours,I need regarding my documentation.,General
Work From Home,I need regarding my annual leave.,HR
Suggestion,I need regarding my general information.,General
Documentation,I appreciate regarding my help regarding services.,General
Working Hours,I appreciate regarding my office timings.,General
Performance Issue,I dashboard shows error regarding my after update.,Technical
Contact Details,I appreciate regarding my documentation.,General
Password Reset,I password reset not working regarding my on Chrome browser.,Technical
General Question,I appreciate regarding my general information.,General
Incorrect Invoice,I charged twice regarding my annual plan.,Billing
Suggestion,I appreciate regarding my contact information.,General
Password Reset,I password reset not working regarding my during checkout.,Technical
Upload Failed,I server unavailable regarding my on mobile app.,Technical
Working Hours,I can you provide regarding my general information.,General
Work From Home,I need regarding my offer letter.,HR
Documentation,I looking for regarding my office timings.,General
Invoice Issue,I refund delayed regarding my credit card payment.,Billing
Feedback,I thank you for regarding my contact information.,General
Work From Home,I request regarding my employee ID.,HR
Refund Request,I charged twice regarding my GST invoice.,Billing
General Question,I can you provide regarding my contact information.,General
Work From Home,I unable to access regarding my attendance correction.,HR
Refund Request,I charged twice regarding my GST invoice.,Billing
Incorrect Invoice,I billed incorrectly regarding my invoice.,Billing
Work From Home,I want to apply for regarding my salary slip.,HR
Password Reset,I cannot login regarding my after entering password.,Technical
Documentation,I can you provide regarding my contact information.,General
General Question,I can you provide regarding my help regarding services.,General
Invoice Issue,I subscription renewed unexpectedly regarding my monthly subscription.,Billing
Subscription Problem,I charged twice regarding my premium account.,Billing
Holiday List,I unable to access regarding my annual leave.,HR
Payment Pending,I billed incorrectly regarding my credit card payment.,Billing
Dashboard Error,I cannot login regarding my after entering password.,Technical
Working Hours,I appreciate regarding my contact information.,General
Incorrect Invoice,I invoice missing regarding my monthly subscription.,Billing
Double Charge,I charged twice regarding my annual plan.,Billing
Offer Letter,I unable to access regarding my offer letter.,HR
Leave Request,I waiting for regarding my holiday calendar.,HR
Help,I need regarding my help regarding services.,General
Feedback,I appreciate regarding my help regarding services.,General
Invoice Issue,I invoice missing regarding my credit card payment.,Billing
Payment Failed,I billed incorrectly regarding my monthly subscription.,Billing
Suggestion,I can you provide regarding my general information.,General
Payment Pending,I charged twice regarding my credit card payment.,Billing
Documentation,I can you provide regarding my office timings.,General
Password Reset,I password reset not working regarding my after entering password.,Technical
Server Error,I app crashes regarding my while uploading files.,Technical
Attendance,I unable to access regarding my employee ID.,HR
Thank You,I need regarding my help regarding services.,General
Offer Letter,I need regarding my holiday calendar.,HR
Incorrect Invoice,I charged twice regarding my monthly subscription.,Billing
Holiday List,I need regarding my salary slip.,HR
Payment Failed,I charged twice regarding my monthly subscription.,Billing
Performance Issue,I cannot login regarding my on Chrome browser.,Technical
Double Charge,I billed incorrectly regarding my annual plan.,Billing
Suggestion,I need regarding my contact information.,General
Working Hours,I thank you for regarding my help regarding services.,General
Work From Home,I missing regarding my salary slip.,HR
Help,I thank you for regarding my general information.,General
Payment Failed,I payment failed regarding my monthly subscription.,Billing
Password Reset,I password reset not working regarding my on Chrome browser.,Technical
Server Error,I cannot login regarding my after update.,Technical
Contact Details,I thank you for regarding my customer support.,General
Incorrect Invoice,I billed incorrectly regarding my invoice.,Billing
Offer Letter,I waiting for regarding my WFH approval.,HR
Salary Slip,I missing regarding my employee ID.,HR
Payment Pending,I billed incorrectly regarding my invoice.,Billing
Suggestion,I need regarding my documentation.,General
Offer Letter,I waiting for regarding my offer letter.,HR
Suggestion,I can you provide regarding my contact information.,General
Payment Failed,I charged twice regarding my credit card payment.,Billing
Suggestion,I need regarding my help regarding services.,General
Dashboard Error,I app crashes regarding my on mobile app.,Technical
Offer Letter,I unable to access regarding my annual leave.,HR
Holiday List,I want to apply for regarding my salary slip.,HR
Employee ID,I want to apply for regarding my annual leave.,HR
Payment Pending,I subscription renewed unexpectedly regarding my credit card payment.,Billing
Payment Failed,I invoice missing regarding my annual plan.,Billing
General Question,I need regarding my documentation.,General
Resignation,I missing regarding my offer letter.,HR
General Question,I thank you for regarding my customer support.,General
Help,I appreciate regarding my contact information.,General
Refund Request,I charged twice regarding my invoice.,Billing
Documentation,I appreciate regarding my office timings.,General
Contact Details,I appreciate regarding my contact information.,General
Subscription Problem,I payment failed regarding my premium account.,Billing
Payment Failed,I invoice missing regarding my credit card payment.,Billing
Resignation,I unable to access regarding my offer letter.,HR
Holiday List,I missing regarding my annual leave.,HR
Attendance,I missing regarding my attendance correction.,HR
Work From Home,I want to apply for regarding my holiday calendar.,HR
Dashboard Error,I upload fails regarding my after update.,Technical
Leave Request,I waiting for regarding my holiday calendar.,HR
Dashboard Error,I upload fails regarding my on Chrome browser.,Technical
Incorrect Invoice,I billed incorrectly regarding my annual plan.,Billing
Subscription Problem,I subscription renewed unexpectedly regarding my premium account.,Billing
General Question,I can you provide regarding my general information.,General
Double Charge,I charged twice regarding my GST invoice.,Billing
Subscription Problem,I subscription renewed unexpectedly regarding my premium account.,Billing
Documentation,I need regarding my help regarding services.,General
Contact Details,I can you provide regarding my help regarding services.,General
Refund Request,I subscription renewed unexpectedly regarding my premium account.,Billing
Attendance,I missing regarding my offer letter.,HR
Billing Error,I payment failed regarding my annual plan.,Billing
Upload Failed,I upload fails regarding my after entering password.,Technical
Website Bug,I cannot login regarding my after update.,Technical
Payment Failed,I subscription renewed unexpectedly regarding my premium account.,Billing
App Crash,I password reset not working regarding my on mobile app.,Technical
Payment Failed,I subscription renewed unexpectedly regarding my credit card payment.,Billing
Website Bug,I password reset not working regarding my on mobile app.,Technical
Employee ID,I waiting for regarding my holiday calendar.,HR
Dashboard Error,I password reset not working regarding my after update.,Technical
Incorrect Invoice,I payment failed regarding my invoice.,Billing
Employee ID,I want to apply for regarding my WFH approval.,HR
Resignation,I missing regarding my attendance correction.,HR
Suggestion,I want regarding my customer support.,General
General Question,I thank you for regarding my customer support.,General
Server Error,I password reset not working regarding my while uploading files.,Technical
Incorrect Invoice,I charged twice regarding my credit card payment.,Billing
Invoice Issue,I payment failed regarding my monthly subscription.,Billing
Holiday List,I unable to access regarding my attendance correction.,HR
Password Reset,I server unavailable regarding my after update.,Technical
Holiday List,I want to apply for regarding my employee ID.,HR
Employee ID,I unable to access regarding my attendance correction.,HR
Website Bug,I app crashes regarding my after entering password.,Technical
Working Hours,I want regarding my help regarding services.,General
Invoice Issue,I billed incorrectly regarding my GST invoice.,Billing
App Crash,I server unavailable regarding my after entering password.,Technical
Attendance,I want to apply for regarding my WFH approval.,HR
Payment Failed,I refund delayed regarding my premium account.,Billing
Payment Failed,I invoice missing regarding my monthly subscription.,Billing
Refund Request,I charged twice regarding my invoice.,Billing
Feedback,I looking for regarding my documentation.,General
App Crash,I password reset not working regarding my on mobile app.,Technical
Invoice Issue,I subscription renewed unexpectedly regarding my invoice.,Billing
Working Hours,I need regarding my help regarding services.,General
General Question,I looking for regarding my customer support.,General
Contact Details,I thank you for regarding my general information.,General
Performance Issue,I server unavailable regarding my on Chrome browser.,Technical
General Question,I want regarding my contact information.,General
Work From Home,I missing regarding my annual leave.,HR
Work From Home,I unable to access regarding my holiday calendar.,HR
App Crash,I upload fails regarding my on Chrome browser.,Technical
Offer Letter,I want to apply for regarding my WFH approval.,HR
Website Bug,I server unavailable regarding my after update.,Technical
Leave Request,I want to apply for regarding my offer letter.,HR
Work From Home,I request regarding my WFH approval.,HR
Resignation,I request regarding my offer letter.,HR
Help,I need regarding my contact information.,General
Thank You,I appreciate regarding my office timings.,General
Password Reset,I password reset not working regarding my on Chrome browser.,Technical
Offer Letter,I missing regarding my annual leave.,HR
Server Error,I upload fails regarding my after update.,Technical
Resignation,I waiting for regarding my WFH approval.,HR
Contact Details,I thank you for regarding my customer support.,General
Thank You,I looking for regarding my documentation.,General
Login Issue,I website freezes regarding my while uploading files.,Technical
Offer Letter,I need regarding my WFH approval.,HR
Attendance,I request regarding my salary slip.,HR
Suggestion,I want regarding my help regarding services.,General
Website Bug,I app crashes regarding my during checkout.,Technical
Documentation,I thank you for regarding my help regarding services.,General
Attendance,I missing regarding my annual leave.,HR
Offer Letter,I waiting for regarding my annual leave.,HR
Attendance,I unable to access regarding my employee ID.,HR
Incorrect Invoice,I billed incorrectly regarding my premium account.,Billing
Payment Failed,I billed incorrectly regarding my credit card payment.,Billing
Invoice Issue,I refund delayed regarding my monthly subscription.,Billing
Contact Details,I thank you for regarding my customer support.,General
Contact Details,I want regarding my help regarding services.,General
Password Reset,I cannot login regarding my on Chrome browser.,Technical
Documentation,I thank you for regarding my office timings.,General
Payment Pending,I billed incorrectly regarding my GST invoice.,Billing
Payment Failed,I billed incorrectly regarding my invoice.,Billing
Working Hours,I thank you for regarding my customer support.,General
Attendance,I missing regarding my WFH approval.,HR
Working Hours,I want regarding my contact information.,General
Help,I need regarding my general information.,General
Work From Home,I unable to access regarding my salary slip.,HR
Login Issue,I password reset not working regarding my during checkout.,Technical
Double Charge,I subscription renewed unexpectedly regarding my premium account.,Billing
Payment Pending,I subscription renewed unexpectedly regarding my GST invoice.,Billing
Employee ID,I request regarding my holiday calendar.,HR
Help,I want regarding my customer support.,General
Attendance,I need regarding my employee ID.,HR
Leave Request,I waiting for regarding my attendance correction.,HR
Feedback,I looking for regarding my general information.,General
Website Bug,I password reset not working regarding my after update.,Technical
Resignation,I want to apply for regarding my WFH approval.,HR
Suggestion,I appreciate regarding my contact information.,General
Payment Failed,I billed incorrectly regarding my monthly subscription.,Billing
General Question,I looking for regarding my general information.,General
General Question,I want regarding my documentation.,General
Invoice Issue,I subscription renewed unexpectedly regarding my credit card payment.,Billing
Upload Failed,I server unavailable regarding my while uploading files.,Technical
Suggestion,I appreciate regarding my customer support.,General
Password Reset,I server unavailable regarding my on Chrome browser.,Technical
Refund Request,I payment failed regarding my invoice.,Billing
Website Bug,I upload fails regarding my while uploading files.,Technical
Billing Error,I billed incorrectly regarding my GST invoice.,Billing
Server Error,I upload fails regarding my after entering password.,Technical
Suggestion,I need regarding my customer support.,General
Suggestion,I can you provide regarding my help regarding services.,General
Dashboard Error,I password reset not working regarding my after entering password.,Technical
Website Bug,I server unavailable regarding my after entering password.,Technical
Server Error,I dashboard shows error regarding my during checkout.,Technical
Performance Issue,I cannot login regarding my after entering password.,Technical
Dashboard Error,I password reset not working regarding my on mobile app.,Technical
Incorrect Invoice,I subscription renewed unexpectedly regarding my monthly subscription.,Billing
Work From Home,I missing regarding my WFH approval.,HR
General Question,I thank you for regarding my help regarding services.,General
Salary Slip,I waiting for regarding my WFH approval.,HR
Performance Issue,I website freezes regarding my during checkout.,Technical
Website Bug,I server unavailable regarding my after update.,Technical
Subscription Problem,I charged twice regarding my invoice.,Billing
Resignation,I missing regarding my holiday calendar.,HR
Work From Home,I waiting for regarding my offer letter.,HR
Documentation,I looking for regarding my help regarding services.,General
Upload Failed,I password reset not working regarding my on mobile app.,Technical
Work From Home,I want to apply for regarding my WFH approval.,HR
Holiday List,I unable to access regarding my WFH approval.,HR
Billing Error,I refund delayed regarding my premium account.,Billing
Suggestion,I can you provide regarding my office timings.,General
Contact Details,I thank you for regarding my office timings.,General
Website Bug,I server unavailable regarding my on Chrome browser.,Technical
App Crash,I dashboard shows error regarding my during checkout.,Technical
Double Charge,I billed incorrectly regarding my monthly subscription.,Billing
Salary Slip,I waiting for regarding my attendance correction.,HR
Login Issue,I server unavailable regarding my after update.,Technical
Suggestion,I need regarding my general information.,General
Attendance,I unable to access regarding my annual leave.,HR
Holiday List,I waiting for regarding my employee ID.,HR
Suggestion,I want regarding my help regarding services.,General
Performance Issue,I password reset not working regarding my during checkout.,Technical
Attendance,I waiting for regarding my offer letter.,HR
Attendance,I waiting for regarding my annual leave.,HR
Offer Letter,I request regarding my annual leave.,HR
Refund Request,I subscription renewed unexpectedly regarding my credit card payment.,Billing
Documentation,I looking for regarding my help regarding services.,General
Password Reset,I website freezes regarding my while uploading files.,Technical
Login Issue,I server unavailable regarding my after update.,Technical
Subscription Problem,I subscription renewed unexpectedly regarding my premium account.,Billing
Subscription Problem,I payment failed regarding my monthly subscription.,Billing
Password Reset,I app crashes regarding my after update.,Technical
Server Error,I upload fails regarding my after entering password.,Technical
Working Hours,I need regarding my office timings.,General
Double Charge,I subscription renewed unexpectedly regarding my credit card payment.,Billing
Resignation,I unable to access regarding my annual leave.,HR
Upload Failed,I cannot login regarding my while uploading files.,Technical
Contact Details,I need regarding my customer support.,General
Holiday List,I unable to access regarding my attendance correction.,HR
Upload Failed,I server unavailable regarding my after entering password.,Technical
Upload Failed,I cannot login regarding my after update.,Technical
Leave Request,I need regarding my salary slip.,HR
Suggestion,I thank you for regarding my customer support.,General
Dashboard Error,I password reset not working regarding my on Chrome browser.,Technical
Incorrect Invoice,I refund delayed regarding my GST invoice.,Billing
Dashboard Error,I website freezes regarding my on mobile app.,Technical
Incorrect Invoice,I billed incorrectly regarding my invoice.,Billing
Password Reset,I website freezes regarding my after update.,Technical
Attendance,I need regarding my holiday calendar.,HR
Upload Failed,I dashboard shows error regarding my after update.,Technical
Resignation,I unable to access regarding my offer letter.,HR
Offer Letter,I waiting for regarding my annual leave.,HR
Work From Home,I need regarding my employee ID.,HR
Employee ID,I request regarding my annual leave.,HR
Salary Slip,I missing regarding my annual leave.,HR
App Crash,I server unavailable regarding my on Chrome browser.,Technical
Resignation,I waiting for regarding my offer letter.,HR
Work From Home,I missing regarding my employee ID.,HR
App Crash,I server unavailable regarding my while uploading files.,Technical
Resignation,I request regarding my attendance correction.,HR
Leave Request,I missing regarding my attendance correction.,HR
Invoice Issue,I refund delayed regarding my invoice.,Billing
Payment Pending,I invoice missing regarding my invoice.,Billing
Work From Home,I need regarding my holiday calendar.,HR
Payment Pending,I billed incorrectly regarding my monthly subscription.,Billing
Holiday List,I unable to access regarding my attendance correction.,HR
Refund Request,I charged twice regarding my GST invoice.,Billing
Refund Request,I billed incorrectly regarding my monthly subscription.,Billing
Performance Issue,I upload fails regarding my on Chrome browser.,Technical
Subscription Problem,I payment failed regarding my GST invoice.,Billing
Subscription Problem,I billed incorrectly regarding my premium account.,Billing
Invoice Issue,I payment failed regarding my monthly subscription.,Billing
Incorrect Invoice,I billed incorrectly regarding my credit card payment.,Billing
Employee ID,I missing regarding my holiday calendar.,HR
Website Bug,I upload fails regarding my on Chrome browser.,Technical
Server Error,I dashboard shows error regarding my after update.,Technical
Incorrect Invoice,I invoice missing regarding my credit card payment.,Billing
Suggestion,I can you provide regarding my customer support.,General
Feedback,I need regarding my help regarding services.,General
Documentation,I looking for regarding my office timings.,General
Leave Request,I want to apply for regarding my WFH approval.,HR
Work From Home,I request regarding my holiday calendar.,HR
Thank You,I looking for regarding my help regarding services.,General
Invoice Issue,I payment failed regarding my invoice.,Billing
Dashboard Error,I dashboard shows error regarding my on Chrome browser.,Technical
Subscription Problem,I invoice missing regarding my premium account.,Billing
Login Issue,I website freezes regarding my during checkout.,Technical
General Question,I thank you for regarding my office timings.,General
Dashboard Error,I website freezes regarding my on Chrome browser.,Technical
Contact Details,I looking for regarding my documentation.,General
Incorrect Invoice,I charged twice regarding my monthly subscription.,Billing
Leave Request,I need regarding my holiday calendar.,HR
Server Error,I dashboard shows error regarding my while uploading files.,Technical
Salary Slip,I request regarding my attendance correction.,HR
Working Hours,I want regarding my office timings.,General
Subscription Problem,I subscription renewed unexpectedly regarding my GST invoice.,Billing
Payment Failed,I invoice missing regarding my premium account.,Billing
Thank You,I looking for regarding my help regarding services.,General
Payment Failed,I subscription renewed unexpectedly regarding my GST invoice.,Billing
Password Reset,I dashboard shows error regarding my on Chrome browser.,Technical
Work From Home,I waiting for regarding my salary slip.,HR
Suggestion,I appreciate regarding my customer support.,General
Thank You,I need regarding my office timings.,General
Subscription Problem,I charged twice regarding my invoice.,Billing
Thank You,I want regarding my office timings.,General
Invoice Issue,I billed incorrectly regarding my premium account.,Billing
Help,I can you provide regarding my office timings.,General
Feedback,I need regarding my general information.,General
Suggestion,I want regarding my general information.,General
Dashboard Error,I upload fails regarding my on Chrome browser.,Technical
Work From Home,I unable to access regarding my salary slip.,HR
Resignation,I request regarding my WFH approval.,HR
Upload Failed,I upload fails regarding my on mobile app.,Technical
Leave Request,I request regarding my salary slip.,HR
Login Issue,I password reset not working regarding my after entering password.,Technical
Offer Letter,I need regarding my salary slip.,HR
App Crash,I password reset not working regarding my after entering password.,Technical
Billing Error,I billed incorrectly regarding my annual plan.,Billing
Website Bug,I server unavailable regarding my during checkout.,Technical
Payment Pending,I payment failed regarding my premium account.,Billing
Dashboard Error,I website freezes regarding my while uploading files.,Technical
Double Charge,I refund delayed regarding my GST invoice.,Billing
General Question,I want regarding my help regarding services.,General
App Crash,I app crashes regarding my while uploading files.,Technical
Invoice Issue,I billed incorrectly regarding my GST invoice.,Billing
Website Bug,I app crashes regarding my while uploading files.,Technical
Help,I want regarding my documentation.,General
Leave Request,I request regarding my holiday calendar.,HR
Work From Home,I need regarding my WFH approval.,HR
Holiday List,I need regarding my holiday calendar.,HR
Double Charge,I invoice missing regarding my GST invoice.,Billing
Work From Home,I unable to access regarding my holiday calendar.,HR
Employee ID,I missing regarding my attendance correction.,HR
Dashboard Error,I server unavailable regarding my after entering password.,Technical
Billing Error,I refund delayed regarding my credit card payment.,Billing
Payment Failed,I charged twice regarding my annual plan.,Billing
Contact Details,I appreciate regarding my office timings.,General
General Question,I thank you for regarding my documentation.,General
Work From Home,I missing regarding my employee ID.,HR
Contact Details,I want regarding my customer support.,General
Incorrect Invoice,I invoice missing regarding my annual plan.,Billing
Dashboard Error,I website freezes regarding my on mobile app.,Technical
Performance Issue,I app crashes regarding my while uploading files.,Technical
Website Bug,I app crashes regarding my on Chrome browser.,Technical
Help,I want regarding my general information.,General
Subscription Problem,I invoice missing regarding my annual plan.,Billing
Working Hours,I thank you for regarding my contact information.,General
Billing Error,I billed incorrectly regarding my premium account.,Billing
Dashboard Error,I dashboard shows error regarding my after entering password.,Technical
Subscription Problem,I invoice missing regarding my credit card payment.,Billing
Refund Request,I invoice missing regarding my invoice.,Billing
Payment Pending,I payment failed regarding my GST invoice.,Billing
Work From Home,I want to apply for regarding my offer letter.,HR
Upload Failed,I website freezes regarding my after entering password.,Technical
Refund Request,I charged twice regarding my credit card payment.,Billing
Billing Error,I billed incorrectly regarding my GST invoice.,Billing
Website Bug,I cannot login regarding my after update.,Technical
Work From Home,I want to apply for regarding my employee ID.,HR
Holiday List,I missing regarding my attendance correction.,HR
Performance Issue,I cannot login regarding my on mobile app.,Technical
Salary Slip,I request regarding my salary slip.,HR
General Question,I thank you for regarding my general information.,General
Resignation,I need regarding my salary slip.,HR
Dashboard Error,I server unavailable regarding my on Chrome browser.,Technical
Billing Error,I payment failed regarding my annual plan.,Billing
Login Issue,I cannot login regarding my on Chrome browser.,Technical
Performance Issue,I dashboard shows error regarding my while uploading files.,Technical
Refund Request,I charged twice regarding my GST invoice.,Billing
Offer Letter,I unable to access regarding my holiday calendar.,HR
General Question,I need regarding my general information.,General
Documentation,I need regarding my documentation.,General
Thank You,I thank you for regarding my general information.,General
Upload Failed,I website freezes regarding my on mobile app.,Technical
Contact Details,I thank you for regarding my contact information.,General
Work From Home,I need regarding my attendance correction.,HR
Upload Failed,I cannot login regarding my on mobile app.,Technical
Dashboard Error,I dashboard shows error regarding my while uploading files.,Technical
Leave Request,I want to apply for regarding my WFH approval.,HR
Website Bug,I server unavailable regarding my after update.,Technical
Password Reset,I dashboard shows error regarding my after update.,Technical
Refund Request,I billed incorrectly regarding my GST invoice.,Billing
Holiday List,I want to apply for regarding my salary slip.,HR
Refund Request,I invoice missing regarding my GST invoice.,Billing
Offer Letter,I waiting for regarding my attendance correction.,HR
Help,I want regarding my customer support.,General
Feedback,I appreciate regarding my help regarding services.,General
Refund Request,I subscription renewed unexpectedly regarding my invoice.,Billing
Invoice Issue,I invoice missing regarding my GST invoice.,Billing
Feedback,I want regarding my office timings.,General
Refund Request,I refund delayed regarding my invoice.,Billing
Attendance,I need regarding my employee ID.,HR
Offer Letter,I missing regarding my annual leave.,HR
Feedback,I appreciate regarding my customer support.,General
Thank You,I looking for regarding my documentation.,General
Website Bug,I upload fails regarding my during checkout.,Technical
Employee ID,I need regarding my WFH approval.,HR
Upload Failed,I password reset not working regarding my after entering password.,Technical
Dashboard Error,I app crashes regarding my while uploading files.,Technical
Billing Error,I refund delayed regarding my invoice.,Billing
Password Reset,I password reset not working regarding my after entering password.,Technical
Server Error,I app crashes regarding my while uploading files.,Technical
Password Reset,I password reset not working regarding my while uploading files.,Technical
Performance Issue,I app crashes regarding my on mobile app.,Technical
Double Charge,I refund delayed regarding my premium account.,Billing
Employee ID,I missing regarding my offer letter.,HR
